codec,seq,profile,param,vmaf_mean,psnr_y,psnr_u,psnr_v,psnr_yuv,ssim_y,ms_ssim_y,n_frames
dcvc_rt_cuda,Beauty,LDP,q=0,31.227,33.693,38.72,39.799,35.084,0.86031,0.93044,600
dcvc_rt_cuda,Beauty,LDP,q=21,57.315,36.696,39.14,41.243,37.57,0.88268,0.95917,600
dcvc_rt_cuda,Beauty,LDP,q=42,76.779,38.598,39.322,41.666,39.072,0.89961,0.97299,600
dcvc_rt_cuda,Beauty,LDP,q=63,87.93,39.585,39.447,41.882,39.855,0.90935,0.97877,600
dcvc_rt_cuda,Bosphorus,LDP,q=0,37.42,31.609,41.761,40.754,34.021,0.82634,0.87666,600
dcvc_rt_cuda,Bosphorus,LDP,q=21,66.29,36.389,45.056,44.527,38.49,0.91368,0.95856,600
dcvc_rt_cuda,Bosphorus,LDP,q=42,84.892,40.29,47.223,46.584,41.943,0.95784,0.98455,600
dcvc_rt_cuda,Bosphorus,LDP,q=63,93.69,43.709,48.765,47.917,44.867,0.9772,0.99328,600
dcvc_rt_cuda,HoneyBee,LDP,q=0,54.093,34.77,36.006,39.484,35.514,0.91,0.95792,600
dcvc_rt_cuda,HoneyBee,LDP,q=21,82.283,39.865,40.608,42.154,40.244,0.95489,0.98661,600
dcvc_rt_cuda,HoneyBee,LDP,q=42,91.4,42.271,43.387,43.758,42.596,0.96686,0.99251,600
dcvc_rt_cuda,HoneyBee,LDP,q=63,93.682,43.159,44.584,44.528,43.508,0.97037,0.99398,600
dcvc_rt_cuda,Jockey,LDP,q=0,38.732,31.56,37.751,37.195,33.038,0.88665,0.89451,600
dcvc_rt_cuda,Jockey,LDP,q=21,61.137,36.007,41.012,40.634,37.211,0.92065,0.94511,600
dcvc_rt_cuda,Jockey,LDP,q=42,85.512,40.014,43.309,42.984,40.797,0.94698,0.97749,600
dcvc_rt_cuda,Jockey,LDP,q=63,96.462,42.755,44.966,44.491,43.248,0.96239,0.98937,600
dcvc_rt_cuda,ReadySteadyGo,LDP,q=0,44.015,27.633,36.91,37.02,29.966,0.79455,0.87649,600
dcvc_rt_cuda,ReadySteadyGo,LDP,q=21,76.053,32.793,40.46,40.171,34.674,0.89983,0.95773,600
dcvc_rt_cuda,ReadySteadyGo,LDP,q=42,96.954,37.682,43.375,42.601,39.009,0.95728,0.98664,600
dcvc_rt_cuda,ReadySteadyGo,LDP,q=63,99.935,41.988,45.598,44.552,42.76,0.97991,0.99513,600
dcvc_rt_cuda,ShakeNDry,LDP,q=0,34.626,30.983,38.733,39.949,33.072,0.80542,0.88813,300
dcvc_rt_cuda,ShakeNDry,LDP,q=21,59.68,34.378,41.122,41.76,36.144,0.88588,0.94127,300
dcvc_rt_cuda,ShakeNDry,LDP,q=42,77.21,37.335,42.858,43.088,38.745,0.92976,0.9718,300
dcvc_rt_cuda,ShakeNDry,LDP,q=63,90.375,41.042,44.067,44.028,41.793,0.96555,0.99046,300
dcvc_rt_cuda,YachtRide,LDP,q=0,29.168,27.974,40.409,38.757,30.876,0.75442,0.81769,600
dcvc_rt_cuda,YachtRide,LDP,q=21,53.969,31.804,43.182,41.829,34.479,0.85425,0.9206,600
dcvc_rt_cuda,YachtRide,LDP,q=42,80.541,36.387,45.517,44.265,38.513,0.93576,0.9732,600
dcvc_rt_cuda,YachtRide,LDP,q=63,95.577,41.361,47.393,46.14,42.712,0.97394,0.99159,600
